"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/2000","86.25","25.1343994140625","115","24.641","6.88299999999998","0","1.99169611319698","0.424588343814763","16.021071",
"1/2/2000","86.25","25.1343994140625","115","25.719","7.84800000000001","0","2.45446738643531","0.397886219645701","16.00436232",
"1/3/2000","86.25","25.1343994140625","115","24.872","8.48399999999998","0","2.9795019412928","0.378943573661369","16.17508368",
"1/4/2000","86.25","25.1343994140625","115","24.974","8.62700000000001","0","3.03487243553364","0.359625327637177","16.248825",
"1/5/2000","86.25","25.1343994140625","115","24.953","7.97500000000002","0","2.64335828242017","0.397864770394193","16.32082032",
"1/6/2000","86.25","25.1343994140625","115","23.435","7.62099999999998","0","3.40326902268502","0.369801226625089","16.4385558",
"1/7/2000","86.25","25.1343994140625","115","23.808","7.74099999999999","0","3.28291857898809","0.393764997542131","16.3582272",
"1/8/2000","86.25","25.1343994140625","115","23.296","6.60199999999998","0","2.00692643755689","0.473958255079747","16.08794748",
"1/9/2000","86.25","25.1343994140625","115","24.154","4.78399999999999","0","1.08771491236294","0.510526826345323","15.91762572",
"1/10/2000","86.25","25.1343994140625","115","26.904","7.00799999999998","0","1.18539522815449","0.48724989806628","15.91200108",
"1/11/2000","86.25","25.1343994140625","115","27.781","8.37400000000002","0","1.15412088079896","0.54240887824299","15.97218372",
"1/12/2000","86.25","25.1343994140625","115","27.801","9.137","0","1.25490353504375","0.581455920019281","16.01442972",
"1/13/2000","86.25","25.1343994140625","115","27.599","11.544","0","1.85481688471051","0.52033458476361","15.43410216",
"1/14/2000","86.25","25.1343994140625","115","28.069","10.953","0","2.42848459389533","0.51750286663404","16.0278174",
"1/15/2000","86.25","25.1343994140625","115","27.377","11.546","0","2.16514019918758","0.399782070600962","14.60767428",
"1/16/2000","86.25","25.1343994140625","115","25.426","14.458","0","3.08693098575971","0.269250434787212","11.5141482",
"1/17/2000","86.25","25.1343994140625","115","23.806","9.14600000000002","0","4.37180533941992","0.271906388591722","17.61660144",
"1/18/2000","86.25","25.1343994140625","115","23.782","7.55500000000001","0","2.95726320901494","0.384327871284391","17.03205288",
"1/19/2000","86.25","25.1343994140625","115","24.635","8.25099999999998","0","2.64313741421857","0.440166610014084","16.87668048",
"1/20/2000","86.25","25.1343994140625","115","26.111","9.59500000000003","0","3.21417794966854","0.398005575752016","17.10933768",
"1/21/2000","86.25","25.1343994140625","115","25.844","5.69900000000001","0","1.260331378543","0.467878240125619","17.02721268",
"1/22/2000","86.25","25.1343994140625","115","27.062","9.971","0","2.88915438582125","0.419452625238074","16.82290224",
"1/23/2000","86.25","25.1343994140625","115","27.383","10.109","0","2.14761197231804","0.490162497472128","16.8822504",
"1/24/2000","86.25","25.1343994140625","115","26.035","7.89400000000001","0","1.66819273264803","0.507814939640723","17.0978634",
"1/25/2000","86.25","25.1343994140625","115","25.741","8.79500000000002","0","1.73094435703307","0.534988499290532","17.30857788",
"1/26/2000","86.25","25.1343994140625","115","27.185","6.37700000000001","0","1.10553852903177","0.568769910882398","17.45280108",
"1/27/2000","86.25","25.1343994140625","115","27.635","8.97399999999999","0","2.03052604082184","0.511226622816112","17.40256812",
"1/28/2000","86.25","25.1343994140625","115","28.063","9.37599999999998","0","1.99174855573266","0.448398484157978","17.20940328",
"1/29/2000","86.25","25.1343994140625","115","26.309","12.941","0","3.34670506967795","0.468466946679486","15.8748723",
"1/30/2000","86.25","25.1343994140625","115","26.21","8.05099999999999","0","1.76610766614331","0.451420256592464","17.8585326",
"1/31/2000","86.25","25.1343994140625","115","27.142","8.25799999999998","0","2.94686001756446","0.381888111792114","17.83304712",
"2/1/2000","86.25","25.1343994140625","115","29.247","12.232","0.137329092","4.71762042770045","0.408134188792124","17.4495924",
"2/2/2000","86.25","25.1343994140625","115","25.362","12.982","2.4719238","4.98236719532327","0.601217110722747","16.2495558",
"2/3/2000","86.25","25.1343994140625","115","26.252","9.29300000000001","0","2.15946241966193","0.661839437170655","17.34069312",
"2/4/2000","86.25","25.1343994140625","115","28.062","9.26600000000002","0","2.2252052052445","0.488646737275183","18.1783044",
"2/5/2000","86.25","25.1343994140625","115","27.694","13.573","1.30119336","4.02581799221609","0.555390022028481","10.80314928",
"2/6/2000","86.25","25.1343994140625","115","20.662","15.85","7.74193482","3.28101804421934","0.831446216509876","3.46303116",
"2/7/2000","86.25","25.1343994140625","115","25.747","11.069","0.11329668","2.02059615067348","0.71867684627316","16.76424312",
"2/8/2000","86.25","25.1343994140625","115","26.929","10.247","0","2.26413952077201","0.540339719482823","18.64361475",
"2/9/2000","86.25","25.1343994140625","115","27.887","10.636","0","2.68038075135656","0.319539124803758","18.80482635",
"2/10/2000","86.25","25.1343994140625","115","27.643","9.41199999999998","0","1.83630599918983","0.344600058142658","19.24284492",
"2/11/2000","86.25","25.1343994140625","115","26.253","11.908","0","3.11996396692233","0.583398020660942","9.11615508",
"2/12/2000","86.25","25.1343994140625","115","25.633","15.969","3.4915933584","3.06715283525465","0.702442475997866","12.22711542",
"2/13/2000","86.25","25.1343994140625","115","27.913","11.785","0","2.03465763372912","0.614928390365538","17.03131875",
"2/14/2000","86.25","25.1343994140625","115","27.914","13.186","0","3.81051684607263","0.39368280375636","19.49906007",
"2/15/2000","86.25","25.1343994140625","115","27.607","10.903","0","3.59862734948632","0.269602165800744","20.22896763",
"2/16/2000","86.25","25.1343994140625","115","27.804","6.93099999999998","0","2.04334963737018","0.382042833967138","20.05076538",
"2/17/2000","86.25","25.1343994140625","115","29.374","9.33199999999999","0","2.51391943862982","0.409894674281796","20.12596983",
"2/18/2000","86.25","25.1343994140625","115","28.54","11.37","0","3.7978131882837","0.194713511437615","20.6647317",
"2/19/2000","86.25","25.1343994140625","115","28.759","9.45299999999997","0","2.3210726547526","0.196637751436373","20.71896435",
"2/20/2000","86.25","25.1343994140625","115","29.155","8.98000000000002","0","2.79540868394497","0.201062077017373","20.8006335",
"2/21/2000","86.25","25.1343994140625","115","28.883","10.33","0","2.0113261048591","0.255221640591563","17.574018732",
